ip,date,time,cik,accession,extention,code,size,norefer,noagent,find,browser
69.251.252.cfi,12/31/2006,10:32:42,839621,0001104659-06-081248,.txt,200,2803,0,0,1,fox
69.251.252.cfi,12/31/2006,10:32:47,839621,0001104659-06-081248,a06-25579_21512g.htm,200,20477,0,0,9,fox
69.251.252.cfi,12/31/2006,10:33:08,839621,0001104659-06-081239,.txt,200,4515,0,0,1,fox
69.251.252.cfi,12/31/2006,10:33:11,839621,0001104659-06-081239,a06-25579_18k.htm,200,35223,0,0,9,fox
68.147.228.jad,12/31/2006,10:48:23,1064481,0000949353-06-000622,.txt,200,3419,0,0,1,fox
68.252.33.fcg,12/31/2006,10:52:21,45919,0000890566-94-000102,.txt,200,233702,0,0,1,fox
68.252.33.fcg,12/31/2006,10:55:26,45919,0000950134-96-001023,.txt,200,204118,0,0,1,fox
68.252.33.fcg,12/31/2006,11:00:44,45919,0000950134-98-002468,.txt,200,210063,0,0,1,fox
68.252.33.fcg,12/31/2006,11:04:37,45919,0000950134-00-002597,.txt,200,239754,0,0,1,fox
68.252.33.fcg,12/31/2006,11:10:13,45919,0000950134-02-002964,.txt,200,204265,0,0,1,fox
68.252.33.fcg,12/31/2006,11:12:15,45919,0001193125-04-041607,.txt,200,4130,0,0,1,fox
68.252.33.fcg,12/31/2006,11:12:28,45919,0001193125-04-041607,d10k.htm,200,869475,0,0,9,fox
68.252.33.fcg,12/31/2006,11:14:07,45919,0001193125-06-056092,.txt,200,5127,0,0,1,fox
68.252.33.fcg,12/31/2006,11:14:19,45919,0001193125-06-056092,d10k.htm,200,921657,0,0,9,fox
69.251.252.cfi,12/31/2006,11:17:40,839621,0001104659-06-074895,.txt,200,3476,0,0,1,fox
69.251.252.cfi,12/31/2006,11:17:44,839621,0001104659-06-074895,a06-22169_110q.htm,200,1580725,0,0,9,fox
66.108.24.ged,12/31/2006,15:35:00,931069,0000931069-06-000009,.txt,200,9604,0,0,1,fox
66.108.24.ged,12/31/2006,15:35:02,931069,0000931069-06-000009,balmg0906ingles6k.htm,304,3476,0,0,9,fox
66.108.24.ged,12/31/2006,17:19:40,811040,0000950144-06-011519,.txt,200,3309,0,0,1,fox
66.108.24.ged,12/31/2006,17:19:44,811040,0001209191-06-063404,.txt,200,3282,0,0,1,fox
66.108.24.ged,12/31/2006,17:19:48,811040,0001209191-06-063404,xslF345X02/bch04642_bch01th.xml,200,15885,0,0,9,fox
66.108.24.ged,12/31/2006,17:27:04,1024446,0001292814-06-003096,.txt,200,4426,0,0,1,fox
66.108.24.ged,12/31/2006,17:27:08,1024446,0001292814-06-003096,net-20060930.htm,200,11694,0,0,9,fox
69.251.252.cfi,12/31/2006,17:54:53,839621,0001104659-06-059196,.txt,200,3202,0,0,1,fox
69.251.252.cfi,12/31/2006,17:54:59,839621,0001104659-06-059196,a06-19096_1ex4.htm,200,62281,0,0,9,fox
69.251.252.cfi,12/31/2006,17:55:26,839621,0001104659-06-060215,.txt,200,2790,0,0,1,fox
69.251.252.cfi,12/31/2006,17:55:30,839621,0001104659-06-060215,a06-19409_18k.htm,200,19191,0,0,9,fox
69.251.252.cfi,12/31/2006,17:55:51,839621,0001104659-06-060215,.txt,200,20616,0,0,9,fox
69.251.252.cfi,12/31/2006,17:56:01,839621,0001104659-06-055729,.txt,200,3135,0,0,1,fox
69.251.252.cfi,12/31/2006,17:56:05,839621,0001104659-06-055729,a06-18182_1ex4.htm,200,53073,0,0,9,fox
69.251.252.cfi,12/31/2006,17:56:22,839621,0001104659-06-055729,a06-18182_18k.htm,200,26118,0,0,9,fox
69.251.252.cfi,12/31/2006,17:56:41,839621,0001104659-06-051850,.txt,200,3713,0,0,1,fox
69.251.252.cfi,12/31/2006,17:56:45,839621,0001104659-06-051850,a06-15322_18k.htm,200,24879,0,0,9,fox
69.251.252.cfi,12/31/2006,17:56:59,839621,0001104659-06-050355,.txt,200,3050,0,0,1,fox
69.251.252.cfi,12/31/2006,17:57:01,839621,0001104659-06-050355,a06-17177_18k.htm,200,27700,0,0,9,fox
69.251.252.cfi,12/31/2006,17:57:09,839621,0001104659-06-050355,a06-17177_1ex99.htm,200,5192,0,0,9,fox
69.251.252.cfi,12/31/2006,17:57:36,839621,0001104659-05-018086,.txt,200,2465,0,0,1,fox
69.251.252.cfi,12/31/2006,17:57:40,839621,0001104659-05-018086,filename1.htm,200,7144,0,0,9,fox
69.251.252.cfi,12/31/2006,17:57:53,839621,0001104659-05-023048,.txt,200,3425,0,0,1,fox
69.251.252.cfi,12/31/2006,17:57:57,839621,0001104659-05-023048,a05-8121_110q.htm,200,1001220,0,0,9,fox
69.251.252.cfi,12/31/2006,18:02:00,839621,0001104659-05-023048,a05-8121_1ex31d1.htm,200,11112,0,0,9,fox
69.251.252.cfi,12/31/2006,18:02:06,839621,0001104659-05-023048,a05-8121_1ex31d2.htm,200,11152,0,0,9,fox
69.251.252.cfi,12/31/2006,18:02:11,839621,0001104659-05-023048,a05-8121_1ex32.htm,200,8880,0,0,9,fox
4.177.223.adj,12/31/2006,18:12:17,885980,0000948221-06-000283,.txt,200,4841,0,0,1,fox
4.177.223.adj,12/31/2006,18:12:46,885980,0000948221-06-000283,ya25684.htm,200,340413,0,0,9,fox
4.177.223.adj,12/31/2006,18:21:58,1071922,0000897069-06-002562,.txt,200,3427,0,0,1,fox
4.177.223.adj,12/31/2006,18:22:13,1050122,0000897069-06-002562,cmw2441.htm,200,86983,0,0,9,fox
4.177.223.adj,12/31/2006,18:25:09,1071922,0000897069-06-001710,.txt,200,3426,0,0,1,fox
4.177.223.adj,12/31/2006,18:25:21,1050122,0000897069-06-001710,cmw2260.htm,200,86770,0,0,9,fox
4.177.223.adj,12/31/2006,19:01:08,860643,0000919574-06-004548,d719782_13f-hr.txt,304,3850,0,0,5,fox
4.177.223.adj,12/31/2006,19:09:41,1020425,0001144204-06-037040,.txt,200,8787,0,0,1,fox
4.177.223.adj,12/31/2006,19:15:33,1020425,0001144204-06-037040,v051445_ncsrs.htm,200,2975204,0,0,9,fox
71.75.144.dce,12/31/2006,19:43:53,38725,0000038725-00-000003,.txtl,200,3255,0,0,1,fox
71.75.144.dce,12/31/2006,19:43:56,38725,0000038725-00-000003,.txt,200,113923,0,0,9,fox
71.75.144.dce,12/31/2006,19:47:05,38725,0000038725-98-000004,.txtl,200,2456,0,0,1,fox
71.75.144.dce,12/31/2006,19:47:07,38725,0000038725-98-000004,.txt,200,330320,0,0,9,fox
66.180.170.jbf,12/31/2006,00:00:00,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:00,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:01,1001258,0001125282-06-008176,form.xml,200,5536,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:01,1001258,0001125282-06-008176,.txt,200,3317,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:05,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:05,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:06,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:06,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:06,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:07,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:07,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:23,932111,0001184236-06-000027,edgar.xml,200,3893,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:23,932111,0001184236-06-000027,.txt,200,3337,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:24,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:24,1139812,0001127602-06-002999,.txt,200,3373,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:25,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:26,1001258,0001125282-06-008176,.txt,200,3317,1,0,0,lin
